,actor,collab,count,genres
1078,Om Puri,Viju Khote,2,"['Comedy|Drama|Family', 'Action|Adventure|Drama']"
1079,Om Puri,Sushma Seth,3,"['Comedy|Drama', 'Action|Thriller', 'Drama']"
1080,Om Puri,Raza Murad,3,"['Comedy|Drama|Romance', 'Action|Crime|Drama', 'Action|Crime|Drama']"
1081,Om Puri,Suresh Oberoi,3,"['Drama', 'Drama|Thriller', 'Drama']"
1082,Om Puri,Rekha,3,"['Drama', 'Drama', 'Drama']"
1083,Om Puri,Mohan Joshi,5,"['Comedy|Drama|Romance', 'Action|Crime|Drama', 'Mystery', 'Action|Drama', 'Action|Drama|Romance']"
1084,Om Puri,Saurabh Shukla,1,['Crime|Drama|History']
1085,Om Puri,Reema Lagoo,5,"['Action|Crime|Drama', 'Comedy|Drama|Romance', 'Drama|Musical|Romance', 'Drama', 'Drama']"
1086,Om Puri,Shashi Kapoor,4,"['Comedy|Drama', 'Drama|Mystery', 'Drama', 'Drama']"
1087,Om Puri,Alok Nath,5,"['Crime|Drama|Mystery', 'Crime|Drama', 'Action|Crime|Drama', 'Action|Drama|Thriller', 'Drama']"
1088,Om Puri,Divya Dutta,2,"['Comedy|Drama', 'Action|Crime|Drama']"
1089,Om Puri,Sunder,1,['Drama|Family']
1090,Om Puri,Sunil Shetty,9,"['Comedy|Drama|Romance', 'Action|Comedy|Drama', 'Drama|Romance', 'Action|Crime|Drama', 'Action|Comedy|Crime', 'Action|Comedy|Crime', 'Action|Crime|Drama', 'Action|Drama', 'Action|Drama|Romance']"
1091,Om Puri,Ajay Devgn,3,"['Drama|Music', 'Action|Drama|Thriller', 'Comedy|Drama|Romance']"
1092,Om Puri,Shah Rukh Khan,4,"['Action|Crime|Thriller', 'Comedy|Drama', 'Action|Crime|Thriller', 'Crime|Drama|History']"
1093,Om Puri,Shammi,1,['Comedy|Drama|Romance']
1094,Om Puri,Dina Pathak,2,"['Action|Drama|Thriller', 'Drama']"
