imdb_id,poster_path,original_title,year_of_release,runtime,genres,imdb_rating,imdb_votes,actors,wins_nominations,release_date
tt0329354,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Marigoldfilmposter.jpg/220px-Marigoldfilmposter.jpg,Marigold,2007,110,Comedy|Romance,4.8,1765,Salman Khan|Ali Larter|Nandana Sen|Ian Bohen|Shari Watson|Helen|Vikas Bhalla|Suchitra Pillai|Vijayendra Ghatge|Roopak Saluja|Kiran Juneja|Gulshan Grover|,,17 August 2007 (USA)
tt0860454,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/MP3_-_Mera_Pehla_Pehla_Pyaar_%28movie_poster%29.jpg/220px-MP3_-_Mera_Pehla_Pehla_Pyaar_%28movie_poster%29.jpg,MP3: Mera Pehla Pehla Pyaar,2007,118,Comedy|Drama|Musical,7.1,2028,Menekka Arora|Sarthak Bhasin|Sagar Chawla|Hazel Croney|Dinesh Garg|Gaurav Gera|Neelu Kohli|Sameer Kohli|Ruslaan Mumtaz|Manoj Pahwa|Rinku Patel|Ashiesh Roy|Kanwaljit Singh|Mandira Singh|,,8 June 2007 (India)
tt0979891,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Hattrick_poster.jpg/220px-Hattrick_poster.jpg,Hattrick,2007,110,Comedy|Drama|Romance,4.2,416,Nana Patekar|Danny Denzongpa|Paresh Rawal|Kunal Kapoor|Rimi Sen|Prateeksha Lonkar|Asawari Joshi|,,16 March 2007 (USA)
tt1020978,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Naqaab.jpg/220px-Naqaab.jpg,Naqaab,2007,115,Crime|Drama|Romance,5.3,1241,Bobby Deol|Akshaye Khanna|Urvashi Sharma|Vikas Kalantri|Vishal Malhotra|Raj Zutshi|Archana Puran Singh|,,13 July 2007 (USA)
tt1127870,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Mumbai_Salsa_%28film%29.jpg/220px-Mumbai_Salsa_%28film%29.jpg,Mumbai Salsa,2007,\N,Comedy|Drama,5,176,Linda Arsenio|Shaurya Chauhan|Alisha Chinai|Vir Das|Manjari Fadnnis|Ray Irani|Amruta Khanvilkar|Neelam|Indraneil Sengupta|Denzil Smith|,,
tt0433416,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/The_Namesake.jpg/220px-The_Namesake.jpg,The Namesake,2006,122,Drama,7.5,18211,Kal Penn|Tabu|Irrfan Khan|Jacinda Barrett|Zuleikha Robinson|Brooke Smith|Sahira Nair|Jagannath Guha|Ruma Guha Thakurta|Sandip Deb|Sukanya|Tanushree Shankar|Sabyasachi Chakrabarty|Tamal Ray Chowdhury|,4 wins & 6 nominations,6 April 2007 (USA)
tt0795434,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Namasteylondonnnnnn.jpg/220px-Namasteylondonnnnnn.jpg,Namastey London,2007,128,Comedy|Drama|Romance,7.1,19769,Akshay Kumar|Katrina Kaif|Rishi Kapoor|Clive Standen|Upen Patel|Javed Sheikh|Tiffany Mulheron|Nina Wadia|Shaana Levy|Riteish Deshmukh|,2 nominations,23 March 2007 (India)
tt0397551,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Poster_MyBollywoodBride.jpg/220px-Poster_MyBollywoodBride.jpg,My Bollywood Bride,2006,95,Comedy|Drama|Romance,4.7,601,Jason Lewis|Kashmira Shah|Gulshan Grover|Sanjay Suri|Neha Dubey|Ash Chandler|Deepak Qazir|Madhuri Bhatia|Sean O'Brien Teague|,,22 March 2007 (India)
tt0476819,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Nehlle_Pe_Dehlla_poster.jpg/220px-Nehlle_Pe_Dehlla_poster.jpg,Nehlle Pe Dehlla,2007,125,Action|Comedy|Crime,3.8,435,Sanjay Dutt|Bipasha Basu|Saif Ali Khan|Kim Sharma|,,2 March 2007 (India)
tt0824375,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Nishabd.jpg/220px-Nishabd.jpg,Nishabd,2007,110,Drama,5.4,1494,Amitabh Bachchan|Jiah Khan|Revathy|Nassar|Shraddha Arya|,,2 March 2007 (USA)
tt0995740,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/No_Smoking_%28Poster%29.jpg/220px-No_Smoking_%28Poster%29.jpg,No Smoking,2007,128,Drama|Mystery|Thriller,7.2,5817,John Abraham|Ayesha Takia|Paresh Rawal|Ranvir Shorey|Kiku Sharda|Akhauri P. Sinha|Joy Fernandes|Karan Makhija|Megh Pant|,,26 October 2007 (India)
tt1024943,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Om_Shanti_Om.jpg/220px-Om_Shanti_Om.jpg,Om Shanti Om,2007,162,Action|Comedy|Drama,6.7,35974,Shah Rukh Khan|Arjun Rampal|Kiron Kher|Shreyas Talpade|Deepika Padukone|Bindu|Javed Sheikh|Satish Shah|Nitish Pandey|Yuvika Chaudhry|Shawar Ali|Asawari Joshi|Nassar Abdulla|,35 wins & 21 nominations,9 November 2007 (India)
tt0807758,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Partner-01.jpg/220px-Partner-01.jpg,Partner,2007,155,Comedy|Drama|Romance,5.7,10305,Salman Khan|Govinda|Lara Dutta|Katrina Kaif|Rajpal Yadav|Ali Haji|Dalip Tahil|Aarti Chhabria|Puneet Issar|Deepshika Nagpal|Suresh Menon|Atul Parchure|Tiku Talsania|Ali Asgar|,1 win & 5 nominations,20 July 2007 (India)
tt0898943,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Raqeeb.jpg/220px-Raqeeb.jpg,Raqeeb,2007,124,Crime|Drama|Mystery,4.2,263,Rahul Khanna|Sharman Joshi|Tanushree Dutta|Jimmy Sheirgill|,,18 May 2007 (India)
