name,profession,known_for
Mehul Kumar,director|writer|producer,tt0313395|tt1408029|tt0119721|tt0110280
Mohan Kumar,writer|producer|director,tt0233202|tt0053566|tt0178192|tt0233182
Naresh Kumar,director|producer|writer,tt0374033|tt0413984|tt0175420|tt0262446
Padam Kumar,producer|director|writer,tt0476791|tt1773628|tt0270880|tt0362204
Pawan Kumar,producer|director|writer,tt8171788|tt0798761|tt0215338|tt0424491
Pradeep Kumar,actor|producer|director,tt0057555|tt0242636|tt0060319|tt0129370
Rajeev Kumar,director|writer|producer,tt3330482|tt0255543|tt0292176|tt0357154
Rakesh Kumar,director|writer|actor,tt0076259|tt0083349|tt0079584|tt0080638
Ram Kumar,actor|make_up_department|producer,tt0390139|tt0284411|tt0157127|tt0139045
Raman Kumar,writer|director|actor,tt0476861|tt0395702|tt0366935|tt0341554
Roopesh Kumar,actor|director|producer,tt0358043|tt0239495|tt0237098|tt0066766
Satish Kumar,assistant_director|actor|director,tt0358043|tt0372349|tt0257475|tt0072100
Shanti Kumar,director|composer|music_department,tt0414264|tt0178190|tt0377500|tt9477070
Swaroop Kumar,director|assistant_director|actor,tt0390405|tt0102160|tt1062967|tt0363876
Vimal Kumar,director|producer|miscellaneous,tt0121232|tt0286910|tt0402606|tt0338855
Vinod Kumar,writer|director|assistant_director,tt0428820|tt0154706|tt0232288|tt0290763
Ramesh Lakhanpal,director|producer,tt0358029|tt0077789
Apoorva Lakhia,director|writer|miscellaneous,tt0811066|tt0457875|tt0169102|tt6512784
K.B. Lall,director|writer|producer,tt0141534|tt0176101|tt0139416|tt0134701
Shaheed Latif,director|writer,tt0235094|tt0052220|tt0060145|tt0042207
Kalpana Lajmi,director|writer|producer,tt0233635|tt0273164|tt0454429|tt0108001
Robert Lieberman,director|producer|writer,tt1462059|tt2315896|tt0106912|tt3230854
Wilson Louis,visual_effects|writer|director,tt0254481|tt0937364|tt0190419|tt1808221
Milan Luthria,director|assistant_director|producer,tt1395054|tt1954206|tt10761694|tt4906960
Jennifer Lynch,director|writer|producer,tt0106471|tt1989475|tt0409345|tt0090756
Madhusudan,director|writer|producer,tt2301141|tt0386290|tt0364513|tt0053767
Ram Madhvani,director|assistant_director|producer,tt0248185|tt0339296|tt0986264|tt5286444
Ananth Narayan Mahadevan,actor|director|writer,tt0885398|tt1804604|tt1245732|tt0476729
Balu Mahendra,director|cinematographer|writer,tt0235858|tt0235522|tt0187318|tt0235891
Ram Maheshwari,director|writer|producer,tt0367927|tt0370392|tt0148523|tt0142681
Phani Majumdar,director|writer|assistant_director,tt0235963|tt0236554|tt0236281|tt0236210
Sushil Majumdar,director|actor|writer,tt0237037|tt0237394|tt0061474|tt0237367
Tarun Majumdar,director|writer|music_department,tt0237254|tt0236958|tt0237499|tt4771706
Harmesh Malhotra,director|producer|writer,tt0237021|tt0237437|tt0237564|tt0104404
Naresh Malhotra,assistant_director|editor|director,tt5074740|tt0111793|tt0330217|tt0286421
Girish Malik,actor|director|writer,tt0105394|tt2708550|tt0110280|tt7805960
Sameer Malkan,director|assistant_director|writer,tt0286752|tt0252974|tt0337613|tt0135393
Manivannan,actor|director|writer,tt0319588|tt10225748|tt1784557|tt0309925
Mahesh Manjrekar,actor|writer|director,tt0261545|tt1010048|tt0220832|tt0273884
Nitin Manmohan,producer|miscellaneous|director,tt0130197|tt0100092|tt0366985|tt0172188
Mahesh Mathai,director|producer|cinematographer,tt7010128|tt0281656|tt0479178|tt4774380
John Mathew Matthan,director|writer|assistant_director,tt0200087|tt4479178|tt0083987|tt0475627
Raju Mavani,actor|producer|director,tt0483786|tt0121395|tt0286723|tt0343048
Mehmood,actor|music_department|director,tt0071730|tt0109117|tt0068305|tt0327648
Kamal Mehra,actor|producer|director,tt0373157|tt0230717|tt0213773|tt0395675
Prakash Mehra,director|music_department|producer,tt0239452|tt0239654|tt0105897|tt0082644
Rajiv Mehra,producer|director|writer,tt0126234|tt1592812|tt0292829|tt1979209
Umesh Mehra,director|writer|producer,tt0196635|tt0309087|tt0246729|tt0152509
Vinod Mehra,actor|music_department|director,tt0314487|tt0154695|tt0187109|tt0231416
Anil Mehta,cinematographer|director|actor,tt0150992|tt0169102|tt0347304|tt0420332
Ashok Mehta,cinematographer|camera_department|director,tt0081968|tt0346723|tt0119239|tt0301240
Deepa Mehta,director|producer|writer,tt1146285|tt0240200|tt0303785|tt0116308
Hansal Mehta,director|producer|writer,tt5121000|tt6978268|tt2181831|tt3709344
Ketan Mehta,director|writer|producer,tt0137100|tt0346457|tt0089599|tt0080435
Vijaya Mehta,director|actress|writer,tt0080982|tt0248289|tt0240849|tt0095857
Jana Sue Memel,producer|writer|director,tt0175336|tt0093826|tt0113653|tt0108174
Ismail Memon,director|writer|producer,tt0139107|tt0388893|tt2162651|tt0079614
Ismail Merchant,producer|director|actor,tt0107943|tt0091867|tt0104454|tt0282771
Nicholas Meyer,writer|producer|director,tt0084726|tt0102975|tt0092007|tt0080025
Vijay Mhatre,director,tt0274888
Aziz Mirza,director|writer|actor,tt0120540|tt0222270|tt0173102|tt0346723
H.M. Mirza,writer|director|visual_effects,tt0403276|tt0350030|tt0473444|tt0823252
Saeed Akhtar Mirza,director|writer|producer,tt0087736|tt0077179|tt0241914|tt0080343
Sudhir Mishra,director|writer|actor,tt0366276|tt0104098|tt1221147|tt0411469
Kewal Misra,director|actor|producer,tt0374066|tt0367662|tt0176134|tt0381144
Sisir Misra,writer|director|actor,tt1459956|tt0242311|tt0242314|tt0242838
Babubhai Mistry,special_effects|director|art_director,tt0242840|tt0242504|tt0242576|tt0242832
Fali Mistry,cinematographer|director|producer,tt0059246|tt0154685|tt0298327|tt0386542
Raksha Mistry,assistant_director|director|producer,tt0232079|tt0833484|tt0254481|tt1603862
Bibhuti Mitra,director|producer,tt0242301|tt0052065|tt0242639|tt0242836
Sombhu Mitra,actor|director|writer,tt0243557|tt0215457|tt0047215|tt0049378
Shibu Mitra,director|editor|writer,tt0368465|tt0243358|tt0243587|tt0364615
Sohrab Modi,actor|director|producer,tt0274577|tt0031829|tt0243340|tt0137958
Ram Mohan,director|art_department|miscellaneous,tt0259356|tt0259366|tt0259534|tt0259603
Surendra Mohan,director|producer|actress,tt0368079|tt0317637|tt0097513|tt0089785
Madan Mohla,producer|director,tt0102073|tt0359135|tt0358063|tt0279021
Amit Mitra,director|writer,tt0315747|tt0243557|tt0049378
Govind Moonis,writer|director|assistant_director,tt0146645|tt0156923|tt0256951|tt0448374
Motilal,actor|director|writer,tt0252318|tt0047990|tt0158908|tt0231764
Desh Mukherjee,art_director|art_department|production_designer,tt0076177|tt0060689|tt0054910|tt0446889
Gyan Mukherjee,director|writer|producer,tt0244182|tt0033772|tt9477376|tt0139608
Hrishikesh Mukherjee,director|editor|writer,tt0066763|tt0137362|tt0137361|tt0147855
Joy Mukherjee,actor|director|producer,tt0063111|tt0214639|tt0257475|tt0055949
Prabhat Mukherjee,director|writer,tt0232484|tt1920854|tt1402504|tt1402536
Rajat Mukherjee,director|writer,tt3568970|tt0315632|tt0281102|tt0405121
Ram Mukherjee,director|writer|actor,tt0053928|tt0058287|tt0364069|tt4192340
Shankar Mukherjee,director|producer,tt0072972|tt0275217|tt0055767|tt0274743
Subodh Mukherji,producer|director|writer,tt0050829|tt0244977|tt0055035|tt0178218
Amar Mullick,actor|director|writer,tt0245142|tt0244991|tt0245089|tt0244948
Jag Mundhra,director|writer|editor,tt0110118|tt0119357|tt0095400|tt0280465
K. Muralimohana Rao,director,tt0273452|tt0432114|tt0363567|tt0102706
A. Muthu,editor|director|editorial_department,tt0115009|tt0156985|tt0445056|tt0250774
Sajid Nadiadwala,producer|writer|director,tt2372222|tt2980794|tt6843812|tt7721946
Biren Nag,art_director|director|writer,tt0049041|tt0055783|tt0058270|tt0051806
Hiren Nag,director|writer|assistant_director,tt1253578|tt1538220|tt0165625|tt1538229
Shankar Nag,actor|director|writer,tt2355603|tt0245222|tt0245333|tt0245156
Sudarshan Nag,cinematographer|director,tt0358950|tt0359473|tt0095010|tt0359962
Ravikant Nagaich,director|cinematographer|special_effects,tt0246261|tt0246086|tt0068938|tt0246286
D. Rama Naidu,producer|actor|director,tt0072026|tt0091267|tt0154201|tt0363567
Sriramulu Naidu S.M.,director|producer|writer,tt0333712|tt0334624|tt1440214|tt0131852
Mira Nair,director|producer|actress,tt0096028|tt2032557|tt0265343|tt0102456
Shashilal K. Nair,director|assistant_director|producer,tt0227194|tt3032264|tt0099953|tt0103689
J.K. Nanda,director|writer|actor,tt0137958|tt0246453|tt0246845|tt0134615
Prashant Nanda,writer|actor|director,tt1423972|tt0312945|tt1407242|tt1409107
Najam Naqvi,director|actor|assistant_director,tt0247681|tt0032951|tt1502901|tt1620552
Yusuf Naqvi,director|writer|assistant_director,tt0775088|tt0274086|tt0053767|tt0177504
S.D. Narang,director|producer|actor,tt0247296|tt0247291|tt0246923|tt0247680
Chitrapu Narayana Rao,director|producer,tt0247203|tt0247465|tt0247682|tt0247202
Raja Nawathe,director|assistant_director|editor,tt0045467|tt0247502|tt0247394|tt0176012
R.K. Nayyar,director|assistant_director|producer,tt0302955|tt0397743|tt0318405|tt0300033
Sadhana,actress|director|soundtrack,tt0058921|tt0232960|tt0071541|tt0059893
Raja Nene,director|actor|assistant_director,tt0247974|tt0248343|tt0037209|tt0247977
Govind Nihalani,cinematographer|director|writer,tt0080322|tt0247896|tt0085178|tt0364303
Eeshwar Nivas,director|writer|producer,tt0220757|tt8884100|tt0845492|tt0314006
Tabrez Noorani,producer|director|miscellaneous,tt1790885|tt3823392|tt1010048|tt0454876
Takeshi Ogasawara,director,tt0156213|tt0182637|tt0111919|tt0151178
S.K. Ojha,director|writer|producer,tt0176272|tt0177482|tt0133014|tt0248218
Atsuo Okunaka,director,tt0156675|tt0185062|tt0182628|tt0182555
P. Sambasiva Rao,director|writer,tt1437619|tt0246012|tt0371974|tt0490082
Kuljit Pal,producer|director|writer,tt0367661|tt0083578|tt0254843|tt0368125
Amol Palekar,actor|director|writer,tt0249386|tt0196324|tt0293304|tt0079221
Nitai Palit,director|writer|producer,tt0249385|tt0249469|tt0249384|tt0249778
Pan Nalin,writer|director|producer,tt0392883|tt0221809|tt0196069|tt3368222
Vinod Pande,director|actor|producer,tt0249492|tt0448121|tt10652948|tt1047519
S. Panju,director,tt0234195|tt0233650|tt0234959|tt0234700
B. Ramakrishnaiah Panthulu,director|actor|producer,tt0250461|tt0250339|tt0250240|tt0250317
Sai Paranjape,director|writer|music_department,tt1772781|tt0082162|tt0099437|tt0079938
Pankaj Parashar,director|writer|special_effects,tt0093293|tt0310254|tt0178211|tt0122427
B.J. Patel,director,tt3083824|tt0410064|tt2761564|tt0778828
Jabbar Patel,director|writer|producer,tt0192566|tt0084840|tt0251067|tt0191456
Neeraj Pathak,writer|director|music_department,tt1372694|tt2150177|tt0119861|tt1191130
Anand Patwardhan,director|editor|producer,tt0088837|tt2157192|tt0105208|tt0110839
Ravindra Peepat,director|producer|writer,tt0352489|tt0317569|tt0089465|tt0390400
Yeshwant Pethkar,director|writer,tt0253676|tt0140813|tt0253906|tt0252184
Ravi Raja Pinisetty,director|writer|producer,tt0292437|tt1431723|tt8747280|tt1798189
Prathap Pothen,actor|director|writer,tt0254247|tt0254394|tt0156126|tt0254562
Binod Pradhan,cinematographer|camera_department|miscellaneous,tt2356180|tt0238936|tt0405508|tt0374887
T. Prakash Rao,director|assistant_director|writer,tt0254698|tt0061046|tt0254081|tt0254842
J. Om Prakash,director|producer|miscellaneous,tt0778604|tt0247915|tt0130731|tt0178204
Om Prakash,actor|director|producer,tt0084385|tt0176075|tt0057332|tt0214653
Prem Prakash,actor|producer|assistant_director,tt0276861|tt4760108|tt0069871|tt1401121
Suraj Prakash,director|editor|producer,tt0377737|tt0956298|tt0305689|tt0178181
K. Prasad,director|writer|cinematographer,tt0366663|tt0270092|tt0390666|tt3395024
L.V. Prasad,director|producer|actor,tt0148353|tt0050956|tt0255267|tt0246462
S.R. Pratap,director|writer,tt0363799|tt7518742|tt0270820|tt2707976
Kolli Pratyagatma,director|writer|producer,tt0213973|tt0213515|tt0214037|tt0213475
Priyadarshan,director|writer|actor,tt0437238|tt0995031|tt0242519|tt1286811
Vasili Pronin,director|cinematographer,tt0050820|tt7638068|tt0174810|tt4601014
Ratilal Hemchand Punatar,director,tt0256042|tt0256230|tt0256172|tt0256064
Puri Jagannadh,writer|director|producer,tt0816258|tt1869296|tt2071613|tt0940641
Sanjeev Puri,writer|actor|director,tt0363409|tt0083987|tt0391536|tt0363413
Vijay Raaz,actor|director,tt0411815|tt1934231|tt0265343|tt0377131
Radhakant,director|producer,tt0256100|tt0256483|tt0256429|tt0256355
Vedantam Raghavaiah,director|miscellaneous|actor,tt0257203|tt0257209|tt0395928|tt0256719
K. Raghavendra Rao,director|producer|writer,tt2631186|tt0258045|tt0459554|tt4849438
A.T. Raghu,director|writer,tt0268456|tt0388691|tt7932864|tt0278528
Rajiv Rai,director|writer|editor,tt0285958|tt0119239|tt0110546|tt0100816
Prayag Raj,writer|actor|director,tt0082797|tt0187043|tt0085361|tt0318584
Bharathiraja,director|writer|actor,tt0113530|tt0089646|tt0155481|tt0140448
Aruna Raje,writer|director|editor,tt0259541|tt0259571|tt0286505|tt0402607
C.V. Rajendran,director|writer|actor,tt0281091|tt1364216|tt0290622|tt0279491
K.V. Raju,director|writer,tt1319171|tt0403705|tt4559190|tt0102119
G. Rakesh,director,tt0404197|tt0042225
Rakhan,director|writer,tt0424825|tt0425385|tt0048410
O.P. Ralhan,actor|writer|director,tt0139525|tt0065064|tt0076515|tt0215859
Atma Ram,director|producer|assistant_director,tt0069522|tt0155076|tt0155079|tt0154865
M.V. Raman,director|editor|producer,tt0259494|tt0259492|tt0048479|tt0065927
S. Ramanathan,director|producer|miscellaneous,tt6567340|tt0068305|tt0361508|tt0253691
Ramanna,director|writer,tt0317859|tt2215343|tt0290772|tt0352511
K. Ramnoth,director|cinematographer|writer,tt0259881|tt0260399|tt0260163|tt0260168
Kiran Ramsay,sound_department|producer|director,tt0347332|tt0107440|tt0273045|tt0261001
Shyam Ramsay,director|editor|writer,tt0259877|tt3592020|tt0260494|tt0260098
Tulsi Ramsay,director|producer|production_designer,tt0260494|tt0259877|tt0260098|tt0260411
Bharat Rangachary,director|assistant_director|miscellaneous,tt0390667|tt0117878|tt0135666|tt0290331
Manohar Nath Rangroo,director|assistant_director,tt0154706|tt0277761
Ranjeet,actor|director|producer,tt0378156|tt0258647|tt0233202|tt0084385
Kamalakara Kameshwara Rao,director|assistant_director|writer,tt1865426|tt0263992|tt0263687|tt0263623
V. Madhusudan Rao,director|writer|assistant_director,tt0263915|tt0371968|tt0263022|tt0186872
Y.V. Rao,director|actor|writer,tt0265704|tt0266002|tt0259607|tt0264830
Mani Ratnam,writer|director|producer,tt0312859|tt0105271|tt0499375|tt0112553
Kantilal Rathod,director|writer|producer,tt0266885|tt0266832|tt0266681|tt0267135
Harnam Singh Rawail,director|writer|producer,tt0266757|tt0139607|tt0266765|tt0266712
Rahul Rawail,director|producer|assistant_director,tt0266260|tt0266752|tt0080829|tt0266439
Rajat Rawail,actor|producer|assistant_director,tt0273535|tt1708532|tt0337749|tt0411815
C.L. Rawal,director,tt0175835|tt0056998|tt0290393|tt0371636
Sandip Ray,director|writer|camera_department,tt0114618|tt4320352|tt9060326|tt1593691
Ali Raza,writer|director|miscellaneous,tt0070558|tt0136153|tt0265241|tt0341563
Karan Razdan,writer|director|actor,tt0112916|tt0841096|tt0490170|tt0414714
Vijay Reddy,director,tt1236202|tt0095810|tt0097813|tt0337651
Revathy,actress|director,tt0155849|tt0291855|tt0105575|tt0319690
Raj Rishi,director|writer|actor,tt0178202|tt0135647|tt0274477|tt0274481
Sibte Hassan Rizvi,producer|director,tt0089382|tt0381864|tt0209263|tt0440005
Pamela Rooks,director|writer|producer,tt0170704|tt0373779|tt0104884
Sadashiv J. Row Kavi,producer|director,tt0364232|tt0052740|tt0138323|tt0269344
Biplab Roy Chowdhury,director|writer|editor,tt0267372|tt0267941|tt0306468|tt0305897
Ashok Roy,director|miscellaneous|assistant_director,tt0298952|tt0258647|tt0175530|tt0275442
Bimal Roy,director|cinematographer|producer,tt0053319|tt0045693|tt0050665|tt0056850
Sudhendu Roy,art_director|director|writer,tt0050665|tt0072109|tt0070637|tt0392188
Chuck Russell,director|producer|writer,tt0116213|tt0110475|tt0093629|tt0094761
S.J. Surya,actor|writer|director,tt6522546|tt6485666|tt0368400|tt4401884
Manmohan Sabir,director|producer|writer,tt3908768|tt0364112|tt10133362|tt2100612
Arjun Sablok,actor|director|writer,tt0422091|tt0248216|tt0112870|tt0470869
Sachin,actor|director|producer,tt0482541|tt1651121
Vijay Sadanah,director|assistant_director|producer,tt0847758|tt0246492|tt0186838|tt0359496
M. Sadiq,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
Ramanand Sagar,producer|writer|director,tt0268416|tt0058921|tt0147811|tt0268216
Deepa Sahi,producer|actress|writer,tt3449292|tt0137100|tt1696191|tt0114031
Kishore Sahu,actor|director|writer,tt0049412|tt0053767|tt0268349|tt0140370
Naresh Saigal,director|writer|producer,tt0366739|tt0157132|tt0369595|tt0374146
Ramesh Saigal,director|writer|producer,tt0048537|tt0268533|tt0065903|tt0055444
Arjun Sajnani,director|actor|writer,tt0116743|tt0326722
Yûgô Sakô,director|writer|producer,tt0259534|tt0296274
A. Salaam,director|writer|producer,tt0389551|tt0177486|tt0178174|tt1736628
Shakti Samanta,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
Ambrish Sangal,director|assistant_director|actor,tt0286545|tt0440715|tt0361721|tt0338472
P.L. Santoshi,director|writer|music_department,tt0053637|tt0268937|tt0269438|tt0134850
Rajkumar Santoshi,writer|director|producer,tt0210609|tt0099652|tt0319736|tt0109117
Govind Saraiya,director|producer,tt0448343|tt0269818|tt0148706|tt0269297
Deepak Sareen,assistant_director|director,tt0359876|tt0182251|tt0118578|tt0106203
Sagar Sarhadi,writer|director|producer,tt0074730|tt3353822|tt0126871|tt0234000
Zia Sarhadi,director|writer|music_department,tt0273407|tt0231156|tt0132166|tt0385852
Jyoti Sarup,director|actor|writer,tt1262868|tt1621161|tt0389586|tt0083987
I.V. Sasi,director|producer|writer,tt0271585|tt0291855|tt0187108|tt0290098
K.P. Sasi,director|writer|producer,tt0110107|tt0832297
Koichi Saski,director,tt0259534
M.S. Sathyu,director|art_director|assistant_director,tt0246942|tt0073034|tt1581311|tt0310714
Amit Saxena,editor|director|actor,tt0307873|tt0111068|tt3044882|tt0348843
Bela Segal,editor|director,tt0238936|tt0150992|tt2187972|tt0375611
Mohan Segal,director|producer|actor,tt0341563|tt0049549|tt0359544|tt2113694
Subhash Sehgal,editor|editorial_department|director,tt5052972|tt0072100|tt0209263|tt0091256
Aziz Sejawal,director|writer|assistant_director,tt0348824|tt0152278|tt0279021|tt0099081
Aravind Sen,director|producer|miscellaneous,tt0077183|tt0071714|tt0230345|tt3173676
Mrinal Sen,director|writer|producer,tt0085785|tt0064086|tt0071317|tt0070498
Partho Sen-Gupta,director|writer|art_department,tt0493315|tt0440463|tt6037866|tt2385227
K.S. Sethumadhavan,director|writer|producer,tt1943756|tt0306098|tt0311607|tt0279017
Naeem Sha,writer|assistant_director|director,tt0368580|tt1412775|tt0119239|tt0265452
Chandulal Shah,director|writer|producer,tt0046155|tt0139003|tt0259557|tt0272845
Harish Shah,producer|director,tt0340178|tt0068938|tt0358302|tt0073224
Krishna Shah,writer|director|producer,tt0078241|tt0214591|tt0296274|tt0088706
Kundan Shah,director|writer|producer,tt0085743|tt0110222|tt0328998|tt0249588
Mahendra Shah,director|producer|writer,tt0105116|tt0114337|tt0390669|tt0370088
Naseeruddin Shah,actor|music_department|director,tt0432637|tt0311429|tt1280558|tt0085743
Kumar Shahani,director|writer|actor,tt0088227|tt0246727|tt0102191|tt0068929
Shammi,actress|director|producer,tt0130991|tt0064506|tt0154189|tt0246286
A. Shamsheer,director,tt0176220|tt0176327|tt5851582|tt3628770
K. Shankar,editor|director|writer,tt0314557|tt0316521|tt0317056|tt1435454
K. Ravi Shankar,director|producer,tt0101432|tt0327004|tt0338690|tt0359324
S. Shankar,writer|director|producer,tt1305797|tt0482389|tt0376127|tt0097416
Shantaram Rajaram Vankudre,director|producer|actor,tt0331417|tt0145856|tt0036343|tt0050322
Abhishek Sharma,actor|director|writer,tt8304386|tt3848888|tt1629391|tt6826438
Anil Sharma,director|writer|producer,tt7722258|tt0359215|tt0423313|tt0284137
Devi Sharma,director|writer|producer,tt0219071|tt0242576|tt2782358|tt0418698
Kidar Nath Sharma,director|writer|actor,tt0039654|tt0042233|tt0141441|tt0374154
Romesh Sharma,actor|producer|director,tt0269234|tt0089678|tt0088687|tt0442764
S. Ram Sharma,director|miscellaneous|assistant_director,tt0066589|tt0152256|tt0042233|tt0293589
Sanjeev Sharma,music_department|writer|actor,tt5637188|tt1314274|tt1447508|tt1836912
Vijay Sharma,actor|director|producer,tt0395614|tt0165805|tt0193122|tt0384219
Bhaskar Shetty,assistant_director|director|stunts,tt0080638|tt0079584|tt0096748|tt0827765
Raam Shetty,stunts|director|actor,tt0309618|tt1527595|tt0432385|tt1016044
Shiva,miscellaneous|camera_department|make_up_department,tt0375611|tt0102636|tt0101887|tt1704145
Roop K. Shorey,director|producer|actor,tt2396447|tt0331480|tt1606794|tt0364657
Esmayeel Shroff,director|writer|assistant_director,tt0081624|tt0105007|tt0319121|tt0381864
Shukla Barnali Ray,director|writer|assistant_director,tt5709256|tt2248929|tt1942905|tt1267400
Dilip Shukla,writer|director,tt1620719|tt0109117|tt0416120|tt2112131
Saurabh Shukla,actor|writer|director,tt2621000|tt1010048|tt7363076|tt0195231
Vinay Shukla,writer|director|actor,tt1388903|tt0088687|tt0102746|tt0233808
Siddique,writer|director|assistant_director,tt1821478|tt0242519|tt9101540|tt1729637
Farogh Siddique,director|writer|assistant_director,tt0092026|tt0111625|tt0267617|tt0420123
H.L.N. Simha,director|writer|actor,tt0369240|tt0370004|tt0272288|tt0830653
Singeetam Srinivasa Rao,director|writer|actor,tt0447257|tt0249797|tt0264415|tt0251355
Anup Singh,writer|director,tt0376589|tt7707876|tt5178120|tt2334779
Anurag Singh,miscellaneous|cinematographer|assistant_director,tt0113526|tt0136352|tt1202540|tt0249588
Dara Singh,actor|director|producer,tt0213300|tt0347304|tt0213108|tt0213206
K.K. Singh,writer|director|actor,tt0395802|tt0338477|tt0110280|tt0111384
Manmohan Singh,cinematographer|producer|director,tt1518814|tt0109555|tt0213890|tt0097045
Shivendra Sinha,actor|director|writer,tt0165593|tt0391399|tt6509858|tt0161165
Tapan Sinha,director|writer|composer,tt0322877|tt0049393|tt0123370|tt0345177
Virendra Sinha,writer|director|producer,tt0077789|tt0232977|tt0156606|tt0231150
G.P. Sippy,producer|actor|director,tt0420765|tt0152256|tt0147925|tt0073707
Raj N. Sippy,director|assistant_director|producer,tt0084630|tt0361773|tt0102846|tt0104927
Ramesh Sippy,director|producer|actor,tt0073707|tt0081491|tt0101284|tt0152256
Puneet Sira,producer|actor|director,tt1369740|tt1372266|tt0379818|tt4584602
Sangeeth Sivan,director|producer|writer,tt0493437|tt0279986|tt0290937|tt0275778
Bhappi Sonie,director|producer|writer,tt0381079|tt0070241|tt0053791|tt0317751
Bunty Soorma,producer|director|writer,tt0117437|tt0314006|tt0112916|tt0314186
C.V. Sridhar,director|writer|producer,tt0139157|tt0320119|tt0176075|tt0055220
Adurthi Subba Rao,director|writer|producer,tt0357811|tt0064244|tt0261357|tt0061974
Babbar Subhash,director|writer|producer,tt0317312|tt1869542|tt0364049|tt0363915
S. Sukhdev,director|cinematographer|editor,tt0361936|tt0456274|tt0233934|tt0316322
Shekhar Suman,actor|writer|music_department,tt0100816|tt0216304|tt5525892|tt3334348
Sabiha Sumar,director|writer|producer,tt2140371|tt1093819|tt0357283|tt1842446
T.R. Sundaram,director|producer|actor,tt0371170|tt0061463|tt0259430|tt0369712
S.U. Sunny,director|producer,tt0137947|tt0053999|tt0048756|tt0331186
Jyoti Swaroop,writer|director|assistant_director,tt0063404|tt0067555|tt0084630|tt0367259
Kamal Swaroop,director|writer|actor,tt3705084|tt3343012|tt0246825|tt0083987
R.C. Talwar,director|producer|writer,tt0130991|tt0057024|tt0139457|tt0133187
Ramesh Talwar,director|assistant_director|actor,tt0301231|tt0302058|tt2731270|tt0108023
Hideo Tanaka,director|actor,tt0184925|tt0182637|tt0159213|tt7769528
Lekh Tandon,director|actor|writer,tt0367110|tt0150417|tt0405508|tt0340091
Ravi Tandon,director|producer|actor,tt0360170|tt0071800|tt0297731|tt0297738
Sooni Taraporevala,writer|director|camera_department,tt4323590|tt0102456|tt1119188|tt0120848
Rama Rao Tatineni,director|assistant_director|writer,tt0094299|tt0260144|tt0114236|tt0090958
Teja,writer|cinematographer|director,tt2358074|tt0368896|tt2358060|tt1797416
Vimal Tewari,director,tt0269456
Anant Thakur,director,tt0049072|tt0135590|tt0230834|tt0045535
Raja Thakur,director|editor,tt2624070|tt2613186|tt0073923|tt8482820
B.S. Thapa,director|actor|writer,tt0316088|tt0073112|tt8934078|tt7051562
A.C. Trilogchander,director|writer,tt0425531|tt0469826|tt1437598|tt0457781
M.A. Thirumugham,director|writer|editor,tt1470925|tt0272118|tt1437599|tt0290693
R. Thyagaraajan,director|editor,tt0374039|tt0186794|tt2975912|tt0274336
Deepak Tijori,actor|director|producer,tt1324076|tt4857886|tt10610440|tt0354786
S.N. Tripathi,composer|actor|director,tt0246313|tt0368196|tt0824355|tt2112252
Ashok Tyagi,director|assistant_director|editor,tt0383876|tt0292742|tt1244864|tt0317153
Milind Ukey,director|actor|writer,tt5065688|tt1127869|tt0824309|tt0488836
Rajendra Prasad V.B.,producer|director|writer,tt0312445|tt0263099|tt1503097|tt0372009
Swamy V.S.R.,cinematographer|director|camera_department,tt7860344|tt1575672|tt0246313|tt0363786
Rajesh Vakil,assistant_director|director|writer,tt0104854|tt0154695|tt0359473|tt0350195
Krishna Vamsi,director|writer|assistant_director,tt1579625|tt0339252|tt1183907|tt3802668
Ram Gopal Varma,director|producer|writer,tt0187115|tt0195231|tt0114234|tt0248428
S.S. Vasan,director|producer|writer,tt0273681|tt0361434|tt0134301|tt0378751
Gennadiy Vasilev,director|writer,tt0103134|tt0242459|tt0084850|tt0101283
P. Vasu,director|writer|actor,tt0449869|tt0306645|tt1339248|tt3738624
A. Veerappan,producer|director|writer,tt0069534|tt0318604|tt0148575
Veerendra,actor|director|writer,tt2038259|tt0454579|tt4633948|tt1529234
Deven Verma,actor|producer|director,tt0246493|tt0158375|tt0215517|tt0320124
Pappu Verma,stunts|producer|director,tt0361941|tt0114153|tt0404537|tt0293342
Prakash Verma,miscellaneous|director|producer,tt0154706|tt2677190|tt0068255|tt0085129
Tinnu Verma,stunts|actor|director,tt0347332|tt0284137|tt0109117|tt0118751
Vinod K. Verma,assistant_director|producer|director,tt0363407|tt0363632|tt0364049|tt0399530
Deepak Balraj Vij,director|writer|producer,tt0363481|tt0111303|tt0458027|tt0363730
Vijay,director|actor|writer,tt1416665|tt1360153|tt1416716|tt1399055
K. Vijayan,director|actor,tt0078761|tt10225388|tt0345939|tt0427494
K. Viswanath,director|writer|actor,tt0079889|tt0097264|tt0249985|tt0086231
Chander Vohra,assistant_director|director,tt0359685|tt0298582|tt0135647|tt0148375
Neeraj Vora,actor|writer|director,tt0242519|tt0995031|tt0495034|tt0255305
Sushil Vyas,director,tt2784620|tt0081605|tt0378967|tt2726740
V.M. Vyas,director|cinematographer|writer,tt0378279|tt0357478|tt0373784|tt0386725
Homi Wadia,director|producer|miscellaneous,tt0372038|tt0063178|tt0268376|tt0384109
